INFO 2024-05-25 09:16:36,637 autoreload Watching for file changes with StatReloader
DEBUG 2024-05-25 09:16:36,637 autoreload Waiting for apps ready_event.
DEBUG 2024-05-25 09:16:37,258 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-05-25 09:16:37,272 autoreload Watching dir /home/dragos/dj/samboan/SamboApp/env/lib/python3.10/site-packages/rest_framework/templates with glob **/*.
DEBUG 2024-05-25 09:16:37,272 autoreload Watching dir /home/dragos/dj/BlockchainProject/backend/locale with glob **/*.mo.
DEBUG 2024-05-25 09:16:37,272 autoreload Watching dir /home/dragos/dj/BlockchainProject/backend/api/locale with glob **/*.mo.
DEBUG 2024-05-25 09:16:37,272 autoreload Watching dir /home/dragos/dj/samboan/SamboApp/env/lib/python3.10/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2024-05-25 09:16:37,272 autoreload Watching dir /home/dragos/dj/samboan/SamboApp/env/lib/python3.10/site-packages/corsheaders/locale with glob **/*.mo.
DEBUG 2024-05-25 09:16:37,283 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-05-25 09:16:37,286 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-05-25 09:16:37,355 autoreload File /home/dragos/dj/samboan/SamboApp/env/lib/python3.10/site-packages/django/db/models/fields/reverse_related.py first seen with mtime 1714757756.242502
DEBUG 2024-05-25 09:16:37,355 autoreload File /home/dragos/dj/samboan/SamboApp/env/lib/python3.10/site-packages/jinja2/_identifier.py first seen with mtime 1716320534.1117604
DEBUG 2024-05-25 09:16:37,355 autoreload File /home/dragos/dj/samboan/SamboApp/env/lib/python3.10/site-packages/django/contrib/auth/hashers.py first seen with mtime 1714757755.9825158
DEBUG 2024-05-25 09:16:37,355 autoreload File /home/dragos/dj/samboan/SamboApp/env/lib/python3.10/site-packages/eth_hash/main.py first seen with mtime 1716323058.386146
DEBUG 2024-05-25 09:16:37,355 autoreload File /home/dragos/dj/samboan/SamboApp/env/lib/python3.10/site-packages/web3/middleware/attrdict.py first seen with mtime 1716323058.8061488
DEBUG 2024-05-25 09:16:37,355 autoreload File /home/dragos/dj/samboan/SamboApp/env/lib/python3.10/site-packages/parsimonious/expressions.py first seen with mtime 1716323058.4421463
DEBUG 2024-05-25 09:16:37,355 autoreload File /home/dragos/dj/samboan/SamboApp/env/lib/python3.10/site-packages/django/contrib/admin/templatetags/admin_list.py first seen with mtime 1714757755.9505177
DEBUG 2024-05-25 09:16:37,355 autoreload File /home/dragos/dj/samboan/SamboApp/env/lib/python3.10/site-packages/urllib3/connectionpool.py first seen with mtime 1716131546.1116452
DEBUG 2024-05-25 09:16:37,355 autoreload File /home/dragos/dj/samboan/SamboApp/env/lib/python3.10/site-packages/sqlparse/__init__.py first seen with mtime 1714757755.6665342
DEBUG 2024-05-25 09:16:37,355 autoreload File /usr/lib/python3.10/wsgiref/__init__.py first seen with mtime 1700493245.0
